  notation,bw(mm),a/d,d(mm),pl%,fck(Mpa),f´c(Mpa),Vu_Rep(kN)
Adebar_1989_001_ST1,360,2.92,278.0,1.569,48.50,50.10,127.5
Adebar_1989_002_ST2,360,2.92,278.0,1.569,48.50,50.10,118.7
Adebar_1989_003_ST3,290,2.92,278.0,1.947,45.30,46.90,107.7
Adebar_1989_005_ST16,290,4.56,178.0,3.041,47.50,49.10,75.1
Adebar_1989_007_ST23,290,2.92,278.0,0.992,54.90,56.50,89.9
AhmadKhaloo_1986_001_A1,127,4.00,203.2,3.927,58.39,59.99,58.3
AhmadKhaloo_1986_002_A2,127,3.00,203.2,3.927,58.39,59.99,69.3
AhmadKhaloo_1986_003_A3,127,2.70,203.2,3.927,58.39,59.99,69.3
AhmadKhaloo_1986_007_A7,127,4.00,208.0,1.768,58.39,59.99,47.2
AhmadKhaloo_1986_008_A8,127,3.00,208.0,1.768,58.39,59.99,49.3
AhmadKhaloo_1986_013_B1,127,4.00,201.7,5.034,64.71,66.31,51.7
AhmadKhaloo_1986_014_B2,127,3.00,201.7,5.034,64.71,66.31,69.3
AhmadKhaloo_1986_015_B3,127,2.70,201.7,5.034,64.71,66.31,100.4
AhmadKhaloo_1986_019_B7,127,4.00,208.0,2.248,64.71,66.31,45.0
AhmadKhaloo_1986_020_B8,127,3.00,208.0,2.248,64.71,66.31,47.1
AhmadKhaloo_1986_021_B9,127,2.70,208.0,2.248,64.71,66.31,80.4
AhmadKhaloo_1986_025_C1,127,4.00,184.2,6.635,61.97,63.57,54.7
AhmadKhaloo_1986_026_C2,127,3.00,184.2,6.635,61.97,63.57,76.0
AhmadKhaloo_1986_027_C3,127,2.70,184.2,6.635,61.97,63.57,69.3
AhmadKhaloo_1986_031_C7,127,4.00,206.5,3.260,61.97,63.57,45.8
AhmadKhaloo_1986_032_C8,127,3.00,206.5,3.260,61.97,63.57,44.9
AhmadKhaloo_1986_033_C9,127,2.70,206.5,3.260,61.97,63.57,45.7
